CPU Name, Rating, Rank, Num Thread Execution units, Avg Speed, Stock Speed, Samples
Mobile Intel Pentium 4 - M 1.70GHz,214,1516,1,1625,1700,21,
Intel Pentium 4 1800MHz,213,1517,1,1795,1800,25,
Mobile Intel Celeron 1.80GHz,212,1518,1,1793,1800,21,
Mobile Intel Pentium III - M 866MHz,211,1519,1,746,866,4,
VIA Nehemiah,210,1520,1,1140,1200,8,
Intel Celeron 1.80GHz,209,1521,1,1795,1800,122,
VIA C7-M 1200MHz,208,1522,1,1197,1200,15,
Intel Pentium 4 Mobile 1.70GHz,208,1523,1,1614,1700,37,
Intel Pentium 4 1700MHz,204,1524,1,1688,1700,62,
Intel Pentium 4 1.70GHz,202,1525,1,1698,1700,289,
Intel Pentium III Mobile 800MHz,201,1526,1,797,800,2,
Intel Pentium 4 Mobile 1.60GHz,200,1527,1,1540,1600,51,
Intel Pentium 4 Mobile 1.50GHz,197,1528,1,1296,1500,3,
Mobile Intel Celeron 1.70GHz,196,1529,1,1695,1700,4,
Intel Celeron 1.70GHz,195,1530,1,1704,1700,231,
Mobile Intel Pentium 4 - M 1.60GHz,195,1531,1,1594,1600,2,
Intel Atom Z510 @ 1.10GHz,194,1532,1,1099,1100,4,
Pentium III,194,1533,1,633,-1,509,
Intel Pentium 4 1600MHz,193,1534,1,1598,1600,26,
Intel Pentium 4 1.60GHz,191,1535,1,1598,1600,301,
Mobile Intel Celeron 1.60GHz,188,1536,1,1594,1600,15,
Mobile Intel Celeron 1.50GHz,187,1537,1,1495,1500,11,
Intel Celeron M 800MHz,184,1538,1,678,800,2,
Mobile AMD Athlon XP-M 1400+,183,1539,1,1199,1200,2,
Intel Pentium 4 1500MHz,175,1540,1,1497,1500,103,
Intel Pentium 4 1.50GHz,173,1541,1,1497,1500,84,
Intel 800MHz,171,1542,1,510,800,19,
Mobile Intel Celeron 1.20GHz,170,1543,1,1199,1200,2,
VIA Esther 1000MHz,169,1544,1,999,1000,2,
Intel Pentium 4 1.40GHz,166,1545,1,1394,1400,5,
Intel Pentium 4 1400MHz,166,1546,1,1396,1400,57,
Intel Pentium 4 1300MHz,164,1547,1,1292,1300,35,
VIA C7-M 1000MHz,164,1548,1,997,1000,2,
VIA Eden 800MHz,155,1549,1,800,800,1,
Intel Celeron M 600MHz,151,1550,1,599,600,3,
Intel Pentium 4 Mobile 1.40GHz,149,1551,1,1328,1400,9,
Intel 600MHz,111,1552,1,598,600,5,
Intel Pentium III Mobile 750MHz,103,1553,1,547,750,2,
VIA C3 Ezra,100,1554,1,999,0,1,
